TAZ,HBW_P,HBO_P,NHB_P,HBW_A,HBO_A,NHB_A,P,A
101,41.08,82.99,98.26,2.29,7.75,8.11,222.34,18.15
102,35.73,72.18,85.46,15.68,52.78,56.03,193.36,124.50
103,15.84,32.00,37.89,1.77,2.60,5.07,85.74,9.45
104,24.20,48.88,57.88,9.61,42.54,41.90,130.95,94.05
105,6.41,12.96,15.34,2.63,7.92,8.72,34.71,19.27
106,4.96,10.02,11.87,1.06,1.84,3.60,26.85,6.51
107,12.00,24.25,28.71,22.08,71.36,88.32,64.97,181.76
108,2.66,5.38,6.37,0.24,0.70,0.95,14.41,1.88
109,13.66,27.60,32.68,4.89,19.73,21.19,73.95,45.81
110,16.09,32.51,38.49,0.08,0.11,0.14,87.08,0.33
111,25.69,51.90,61.45,1.66,6.50,6.47,139.05,14.63
112,34.49,69.68,82.50,3.92,5.19,7.23,186.68,16.34
113,44.71,90.33,106.95,10.58,39.15,41.45,241.99,91.18
114,4.06,8.20,9.71,1.61,7.87,7.44,21.96,16.92
115,9.27,18.72,22.17,52.62,216.57,253.54,50.16,522.74
116,34.68,70.06,82.94,6.70,19.44,24.77,187.68,50.91
117,1.50,2.85,3.46,20.38,99.99,96.33,7.81,216.70
118,10.64,21.50,25.46,1.70,2.88,3.34,57.61,7.92
119,39.33,87.19,96.27,1.95,5.13,6.19,222.79,13.27
120,61.95,121.76,146.20,3.32,7.02,9.37,329.91,19.71
121,44.08,87.28,104.25,6.37,21.79,25.29,235.61,53.46
122,12.55,27.83,30.72,0.13,0.65,0.61,71.10,1.38
123,22.00,42.24,51.57,0.81,1.65,1.81,115.81,4.27
124,3.87,7.43,9.07,0.54,2.23,2.06,20.37,4.83
125,7.90,15.17,18.51,3.21,4.46,5.60,41.58,13.27
126,3.00,5.76,7.03,0.63,1.24,1.35,15.78,3.23
127,0.90,1.70,2.06,4.53,10.05,10.54,4.65,25.12
128,8.97,16.95,20.59,1.72,2.54,3.84,46.51,8.10
129,55.94,105.68,128.33,6.94,18.16,19.65,289.95,44.76
130,2.53,4.79,5.81,12.49,51.86,51.23,13.13,115.58
131,3.42,6.46,7.84,6.16,18.19,23.18,17.72,47.53
141,25.55,56.63,62.53,1.94,3.03,3.65,144.71,8.62
142,17.51,43.81,49.67,8.68,12.25,20.70,110.99,41.64
143,59.46,148.79,168.71,10.55,26.70,34.95,376.96,72.20
144,23.31,58.34,66.15,10.55,38.12,42.48,147.81,91.15
145,17.01,42.56,48.26,24.51,44.72,95.15,107.83,164.38
146,27.96,69.98,79.34,15.27,31.48,37.52,177.28,84.27
147,47.44,135.20,145.62,2.56,9.99,9.96,328.26,22.51
148,46.27,131.88,142.05,53.75,192.66,207.11,320.21,453.52
149,7.65,21.80,23.48,0.69,2.03,1.92,52.93,4.64
150,11.92,33.98,36.60,0.61,1.47,2.30,82.50,4.37
151,23.55,47.30,54.98,1.54,3.36,4.11,125.83,9.01
152,3.90,7.81,9.07,4.91,5.72,10.27,20.78,20.91
153,59.87,119.98,139.31,12.03,38.15,44.77,319.16,94.95
154,0.84,1.68,1.95,0.00,0.00,0.00,4.46,0.00
171,35.52,74.72,88.72,5.90,12.31,15.22,198.95,33.43
172,30.61,64.39,76.46,1.15,1.71,2.20,171.46,5.06
173,40.53,85.26,101.24,11.31,42.49,47.75,227.02,101.55
174,42.25,88.87,105.53,3.52,13.19,13.40,236.66,30.11
175,6.57,13.83,16.42,2.65,3.34,8.01,36.82,14.01
176,49.12,103.34,122.71,1.15,2.77,3.78,275.18,7.70
177,45.22,90.62,105.23,9.60,18.44,20.96,241.07,49.00
178,11.43,22.91,26.61,1.66,5.47,6.12,60.96,13.25
179,0.48,0.96,1.11,0.73,1.03,1.26,2.55,3.01
180,6.15,12.57,14.50,1.15,2.28,2.50,33.22,5.92
181,12.04,24.76,29.22,0.89,1.26,1.54,66.01,3.68
182,26.14,53.78,63.46,4.87,23.70,23.33,143.39,51.90
183,30.00,61.71,72.82,6.40,19.80,23.71,164.52,49.92
184,35.32,72.65,85.73,22.89,76.45,90.35,193.70,189.70
185,12.43,25.57,30.18,3.65,6.84,9.77,68.18,20.26
186,15.73,32.36,38.19,2.18,7.78,9.83,86.27,19.78
201,65.32,134.93,156.43,167.70,555.62,738.55,356.67,1461.87
202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,34.54,82.84,89.99,3.48,7.34,9.13,207.38,19.94
204,15.85,38.01,41.29,1.45,2.20,5.02,95.14,8.67
205,3.81,9.13,9.92,0.00,0.00,0.00,22.86,0.00
206,4.08,7.83,9.56,26.94,56.05,65.98,21.46,148.97
207,15.14,36.32,39.45,6.54,16.66,19.54,90.91,42.74
208,23.79,57.05,61.98,33.47,118.31,138.96,142.82,290.75
209,26.52,63.61,69.10,7.92,26.22,23.80,159.24,57.94
210,27.17,65.16,70.78,4.31,12.80,13.15,163.11,30.26
211,0.62,1.48,1.61,0.00,0.00,0.00,3.71,0.00
212,2.37,5.68,6.17,0.00,0.00,0.00,14.21,0.00
213,35.52,68.20,83.25,62.30,259.41,257.09,186.97,578.80
214,26.12,50.14,61.21,30.23,111.35,127.17,137.47,268.74
215,45.25,86.88,106.06,126.29,436.12,395.66,238.19,958.07
216,26.95,51.75,63.17,11.97,59.74,56.14,141.88,127.84
217,20.24,38.86,47.44,0.71,2.17,2.41,106.53,5.29
218,26.82,51.50,62.87,0.09,0.31,0.28,141.20,0.69
219,28.96,55.61,67.88,2.43,3.42,4.19,152.46,10.05
220,13.77,26.44,32.28,2.55,3.58,4.48,72.49,10.61
221,0.38,0.73,0.90,1.39,3.91,4.57,2.01,9.86
222,54.01,103.70,126.59,2.60,7.31,7.66,284.29,17.58
223,21.25,40.81,49.82,0.57,0.80,0.98,111.88,2.34
224,45.44,87.25,106.51,1.33,4.13,4.45,239.20,9.91
225,16.25,31.20,38.09,8.15,29.33,28.95,85.54,66.42
226,10.55,20.27,24.74,51.07,176.97,211.47,55.56,439.52
227,10.25,19.69,24.03,16.92,31.53,70.70,53.97,119.15
228,14.31,27.47,33.53,0.74,2.30,2.11,75.31,5.15
229,23.67,45.44,55.47,14.77,32.72,34.15,124.58,81.63
230,39.50,75.85,92.59,12.82,51.69,55.76,207.94,120.27
231,36.64,70.35,85.88,7.12,25.89,29.04,192.86,62.06
232,0.00,0.00,0.00,0.84,1.50,3.56,0.00,5.89
233,13.67,26.25,32.04,9.66,44.09,42.36,71.96,96.12
234,18.94,36.36,44.39,9.37,46.38,43.89,99.70,99.65
235,7.64,14.67,17.91,36.31,165.00,163.46,40.22,364.76
236,16.84,32.32,39.46,20.36,58.17,70.07,88.62,148.60
237,50.28,96.53,117.84,1.90,4.56,4.94,264.65,11.39
238,12.45,29.81,32.40,0.32,0.94,0.96,74.66,2.22
240,7.92,19.01,20.65,2.73,6.14,7.38,47.58,16.25
241,15.27,36.62,39.78,54.23,197.47,225.60,91.66,477.31
251,68.18,128.80,156.41,0.82,2.30,2.34,353.40,5.47
252,2.39,4.51,5.48,41.09,128.44,130.54,12.37,300.06
253,0.64,1.21,1.47,23.27,118.05,111.44,3.32,252.75
254,4.10,7.75,9.41,63.62,100.11,151.39,21.26,315.11
255,15.10,28.52,34.63,2.47,3.41,5.50,78.25,11.38
256,9.61,18.16,22.06,2.83,13.81,13.06,49.83,29.70
257,22.31,42.14,51.17,5.19,16.97,15.48,115.62,37.64
258,23.07,43.59,52.93,2.11,4.83,5.28,119.59,12.22
259,11.25,21.25,25.81,0.00,0.00,0.00,58.32,0.00
260,24.68,46.62,56.61,2.05,3.25,3.78,127.91,9.08
261,11.57,21.85,26.54,0.00,0.00,0.00,59.96,0.00
262,18.83,35.73,43.35,5.50,15.09,14.62,97.91,35.22
263,9.16,20.99,24.41,35.83,131.37,136.83,54.56,304.03
264,6.64,15.23,17.71,0.19,0.62,0.56,39.59,1.38
265,9.54,21.87,25.43,7.95,28.99,30.40,56.85,67.34
266,34.83,79.84,92.86,24.80,86.58,100.58,207.53,211.96
267,18.33,42.01,48.85,0.47,1.56,1.41,109.19,3.44
268,18.72,42.90,49.90,9.77,21.04,28.67,111.52,59.47
269,16.23,37.20,43.26,15.15,50.61,46.33,96.70,112.09
270,16.46,37.73,43.88,3.36,7.39,7.71,98.07,18.46
271,1.02,2.34,2.72,6.96,11.74,17.15,6.07,35.85
272,2.94,6.38,7.25,0.05,0.20,0.26,16.57,0.51
273,41.77,90.54,102.91,87.88,376.95,370.04,235.23,834.86
274,21.92,47.52,54.01,0.35,0.85,0.84,123.45,2.05
275,0.87,1.89,2.15,3.80,4.38,8.02,4.91,16.20
276,1.42,3.07,3.49,1.25,5.39,6.04,7.98,12.68
277,0.11,0.24,0.27,52.94,244.48,248.12,0.61,545.55
278,9.91,21.49,24.42,98.56,495.18,470.13,55.83,1063.87
279,3.21,6.95,7.90,29.54,139.41,135.15,18.05,304.09
280,0.00,0.00,0.00,55.63,277.22,266.61,0.00,599.47
281,0.22,0.47,0.54,112.06,560.76,533.23,1.23,1206.05
282,0.00,0.00,0.00,29.17,147.99,139.69,0.00,316.85
283,44.38,96.19,109.33,2.28,5.39,6.56,249.89,14.23
284,3.38,7.32,8.32,82.40,312.58,358.32,19.02,753.30
285,75.40,163.42,185.74,24.66,77.58,74.70,424.55,176.93
286,0.76,1.65,1.88,64.61,271.20,274.78,4.30,610.59
287,5.99,12.99,14.77,44.81,202.07,197.46,33.75,444.34
288,0.00,0.00,0.00,46.63,108.45,121.67,0.00,276.74
289,13.38,29.01,32.97,31.44,151.46,148.49,75.36,331.38
290,0.11,0.24,0.27,15.74,33.39,59.60,0.61,108.72
291,13.12,28.45,32.33,44.15,171.30,176.23,73.91,391.68
292,29.42,63.76,72.46,59.76,217.80,217.58,165.63,495.14
293,22.52,48.82,55.48,95.36,387.10,416.29,126.82,898.76
294,17.28,37.46,42.57,38.96,153.31,160.62,97.31,352.89
295,4.67,10.13,11.51,71.36,346.06,327.09,26.32,744.51
301,58.75,123.58,146.75,0.86,1.71,2.15,329.08,4.72
302,2.97,5.99,7.24,8.48,13.06,18.88,16.20,40.42
303,32.86,66.24,80.05,139.59,415.93,507.40,179.14,1062.92
304,43.79,88.28,106.68,10.33,40.04,43.50,238.75,93.88
305,52.30,105.43,127.42,1.03,2.84,2.79,285.15,6.67
306,16.19,32.63,39.44,4.19,15.04,16.21,88.26,35.43
307,5.37,10.83,13.09,96.10,422.09,416.48,29.29,934.67
308,38.02,76.64,92.62,22.82,83.78,88.08,207.28,194.67
309,27.72,55.88,67.53,5.94,18.35,19.72,151.13,44.01
310,39.35,79.33,95.88,62.67,196.69,208.82,214.56,468.18
311,0.11,0.23,0.28,53.14,266.15,254.61,0.62,573.90
312,1.49,2.99,3.62,71.38,290.62,305.82,8.10,667.82
313,0.91,1.84,2.23,40.12,143.80,140.19,4.99,324.10
314,2.29,4.61,5.57,124.80,619.07,587.82,12.46,1331.69
315,1.45,2.92,3.53,16.68,63.04,62.64,7.90,142.35
316,0.00,0.00,0.00,15.35,48.44,51.97,0.00,115.76
317,45.20,94.28,106.67,0.57,2.11,2.60,246.15,5.29
318,42.28,88.20,99.79,3.18,10.35,9.51,230.27,23.04
319,6.27,13.07,14.79,0.11,0.40,0.51,34.13,1.02
320,55.94,116.69,132.02,61.16,225.72,231.32,304.64,518.20
321,51.35,107.12,121.20,1.54,4.71,5.66,279.68,11.91
322,10.72,22.36,25.30,4.28,12.88,12.80,58.37,29.96
323,11.52,24.03,27.19,18.39,64.83,76.50,62.75,159.73
324,0.00,0.00,0.00,129.27,450.86,522.34,0.00,1102.47
325,250.34,518.19,605.39,24.75,81.59,94.04,1373.92,200.38
326,15.77,32.24,37.19,0.59,2.05,2.16,85.20,4.79
327,14.98,30.64,35.35,48.66,171.79,201.68,80.97,422.13
328,76.36,156.15,180.14,2.30,8.50,8.11,412.65,18.91
329,20.52,41.97,48.41,8.91,31.43,29.31,110.90,69.65
330,21.36,43.67,50.38,19.51,96.86,91.73,115.41,208.10
331,19.95,40.80,47.07,0.08,0.11,0.14,107.83,0.33
332,10.34,21.14,24.39,1.77,6.22,7.59,55.88,15.58
333,47.12,96.37,111.17,3.70,9.17,10.08,254.67,22.95
334,31.18,63.76,73.55,1.48,3.31,4.36,168.49,9.14
335,35.11,71.80,82.83,0.51,1.56,1.52,189.73,3.60
336,49.35,100.93,116.43,6.73,22.96,22.48,266.71,52.17
337,12.49,25.55,29.47,0.66,1.97,2.15,67.51,4.78
338,37.11,75.88,87.54,9.43,32.67,35.12,200.53,77.22
339,10.60,21.67,25.00,0.47,0.97,1.10,57.28,2.54
340,7.07,13.90,16.54,2.72,6.39,6.59,37.52,15.70
341,7.76,15.26,18.16,209.05,696.40,630.78,41.18,1536.23
342,22.36,43.97,52.31,30.11,99.81,91.63,118.64,221.56
343,29.36,57.73,68.68,1.21,2.08,2.59,155.78,5.89
344,26.63,52.36,62.28,1.48,3.87,4.60,141.27,9.95
345,16.98,33.39,39.73,11.51,40.35,47.64,90.10,99.50
346,23.52,46.24,55.01,18.82,59.66,71.61,124.76,150.08
347,49.86,114.04,129.06,45.83,152.74,139.29,292.95,337.85
348,12.96,29.65,33.56,41.56,141.37,143.49,76.17,326.42
349,62.28,142.45,161.22,9.93,42.78,41.18,365.96,93.89
350,23.16,52.96,59.94,3.77,10.97,11.07,136.06,25.81
351,27.29,62.42,70.65,0.42,1.25,1.24,160.36,2.91
352,54.54,124.75,141.18,0.93,2.48,3.04,320.47,6.45
353,61.31,140.22,158.69,6.96,33.17,32.13,360.21,72.26
354,49.41,113.00,127.89,0.76,2.26,2.76,290.30,5.78
355,38.02,86.96,98.42,1.61,5.70,6.73,223.40,14.05
356,39.05,89.31,101.08,0.00,0.00,0.00,229.44,0.00
357,5.15,11.77,13.32,35.89,126.78,149.59,30.24,312.25
358,4.61,10.53,11.92,0.26,0.54,0.56,27.06,1.36
359,32.35,73.99,83.74,0.32,0.46,0.56,190.08,1.34
360,19.61,40.68,47.71,62.47,179.51,194.80,107.99,436.78
361,37.08,76.91,90.20,23.71,83.15,87.88,204.18,194.75
362,21.73,45.07,52.85,3.73,16.48,15.97,119.65,36.18
363,5.34,11.09,13.00,23.59,115.57,109.81,29.43,248.97
364,6.78,14.06,16.40,3.32,8.08,10.27,37.24,21.68
365,27.76,57.58,67.54,2.05,5.79,5.94,152.88,13.78
366,29.63,61.46,72.08,23.45,60.17,67.75,163.17,151.36
367,11.23,23.30,27.33,62.19,282.42,284.68,61.86,629.28
368,0.00,0.00,0.00,47.43,137.37,140.41,0.00,325.21
369,0.47,0.97,1.12,55.73,207.01,216.98,2.55,479.72
370,36.98,76.61,88.12,0.71,1.42,2.64,201.70,4.76
371,27.56,57.09,65.67,0.08,0.11,0.14,150.31,0.33
372,21.00,43.50,50.04,9.55,46.92,44.22,114.55,100.69
373,37.33,77.33,88.95,3.68,14.86,15.93,203.62,34.47
374,3.79,7.84,9.02,5.94,28.44,27.92,20.65,62.30
375,1.87,3.88,4.46,179.05,584.46,633.66,10.22,1397.17
376,11.59,24.02,27.62,32.32,100.23,112.10,63.23,244.64
377,4.80,9.95,11.44,38.44,135.54,160.51,26.19,334.49
401,2.90,5.87,6.95,30.69,72.29,106.61,15.72,209.59
402,16.80,33.93,40.18,3.00,11.67,12.12,90.91,26.79
403,10.94,26.26,30.57,18.20,61.45,72.17,67.78,151.81
404,22.34,53.60,62.41,6.84,21.75,26.06,138.35,54.65
405,10.66,25.59,29.79,5.09,10.17,12.74,66.04,28.00
406,1.75,4.21,4.90,7.39,26.41,33.27,10.86,67.07
407,17.86,42.86,49.90,0.55,1.94,2.13,110.62,4.62
408,0.00,0.00,0.00,23.78,52.74,61.31,0.00,137.83
409,4.23,9.13,10.74,0.37,0.45,0.75,24.10,1.57
410,2.52,6.05,7.05,1.46,2.05,2.51,15.63,6.03
411,0.19,0.47,0.54,0.00,0.00,0.00,1.21,0.00
412,0.09,0.21,0.24,88.69,156.18,243.89,0.54,488.76
413,17.02,40.85,47.55,3.52,12.55,15.89,105.43,31.95
414,0.00,0.00,0.00,58.98,112.14,177.78,0.00,348.90
415,0.00,0.00,0.00,27.74,93.06,119.04,0.00,239.84
416,0.00,0.00,0.00,47.53,124.03,164.50,0.00,336.06
417,7.79,18.70,21.77,2.01,2.81,3.80,48.27,8.62
418,0.88,2.10,2.45,2.35,3.31,4.05,5.43,9.71
419,51.35,123.20,143.42,6.30,14.95,17.94,317.97,39.19
431,0.95,2.28,2.66,7.32,29.24,31.38,5.89,67.95
432,16.03,33.31,38.33,7.45,16.88,19.88,87.68,44.21
433,5.90,14.15,16.47,1.17,4.41,5.66,36.52,11.24
434,0.48,1.31,1.47,0.49,1.12,2.07,3.25,3.68
435,50.56,142.01,154.13,98.74,417.81,362.46,346.70,879.01
436,6.41,16.44,18.46,0.42,0.69,0.94,41.32,2.04
437,2.41,6.16,6.92,10.01,50.30,47.96,15.49,108.27
438,3.02,7.74,8.69,6.42,8.61,13.87,19.45,28.90
439,4.45,12.14,13.59,1.61,2.83,4.42,30.17,8.86
440,13.37,34.25,38.48,1.49,4.79,5.02,86.10,11.30
441,5.70,14.61,16.41,9.01,10.66,18.94,36.73,38.61
442,3.56,9.13,10.26,0.49,0.67,0.87,22.95,2.03
443,10.21,26.18,29.41,1.27,3.14,3.98,65.80,8.39
444,0.36,0.91,1.03,4.71,11.68,16.46,2.30,32.85
445,10.50,26.92,30.24,22.25,60.91,70.52,67.65,153.69
446,13.71,35.14,39.47,31.70,76.35,91.56,88.31,199.60
447,4.45,11.42,12.82,4.58,7.51,10.20,28.69,22.29
448,6.41,16.44,18.46,6.60,9.55,13.18,41.32,29.33
449,7.01,14.53,16.71,1.11,1.92,2.46,38.26,5.49
450,13.70,28.39,32.65,34.31,136.60,144.04,74.75,314.95
451,4.81,12.33,13.85,0.99,1.14,2.09,30.99,4.23
452,7.46,15.46,17.78,0.25,1.29,1.22,40.70,2.76
453,13.72,28.41,32.68,21.49,60.74,69.96,74.81,152.20
454,21.65,44.86,51.60,7.17,29.51,33.21,118.11,69.89
455,13.48,27.92,32.11,0.86,3.33,3.37,73.51,7.56
456,5.84,12.10,13.92,1.14,1.60,1.96,31.87,4.69
457,4.86,10.01,11.81,8.88,37.31,37.03,26.68,83.22
458,6.28,12.91,15.23,0.54,0.62,1.13,34.42,2.29
459,11.01,22.64,26.72,1.23,4.23,5.42,60.37,10.89
460,4.98,10.25,12.09,25.35,61.84,69.80,27.33,157.00
461,9.72,19.99,23.58,3.07,6.09,7.79,53.28,16.96
462,3.08,6.34,7.49,2.36,10.22,10.09,16.92,22.67
501,17.75,50.66,56.88,0.69,2.15,2.29,125.29,5.13
502,39.82,113.63,127.58,3.15,12.11,11.74,281.02,27.00
503,25.98,74.13,83.23,10.77,44.53,47.79,183.33,103.09
504,18.70,53.37,59.92,0.85,1.63,1.91,132.00,4.39
505,52.15,126.33,143.56,18.24,59.57,67.93,322.04,145.75
506,30.50,73.89,83.96,1.93,4.28,5.35,188.35,11.56
507,48.40,117.24,133.23,2.52,9.32,9.32,298.87,21.16
508,13.40,32.47,36.90,1.65,6.67,7.44,82.78,15.75
509,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
510,13.70,33.19,37.72,0.62,2.03,2.43,84.61,5.08
511,9.23,22.36,25.41,0.55,2.16,2.42,57.01,5.13
512,2.85,6.91,7.86,8.27,38.67,37.42,17.63,84.36
513,19.55,47.36,53.82,8.76,17.29,22.30,120.73,48.36
514,6.67,16.15,18.35,2.16,4.02,4.78,41.16,10.96
515,7.79,18.86,21.44,3.57,5.02,6.15,48.09,14.74
516,20.77,50.32,57.18,1.46,3.85,4.54,128.27,9.85
517,15.54,37.64,42.77,12.00,42.73,50.28,95.95,105.00
518,24.94,60.41,68.64,3.69,5.99,7.30,153.98,16.97
519,17.69,43.12,48.31,0.46,1.14,1.45,109.11,3.05
520,11.45,27.92,31.28,3.95,7.55,9.88,70.66,21.38
521,83.42,203.39,227.87,1.25,3.69,4.58,514.68,9.51
522,65.79,160.40,179.71,1.54,5.04,5.39,405.90,11.97
523,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
524,19.92,48.56,54.40,0.27,1.00,1.29,122.87,2.55
525,28.90,70.45,78.93,2.27,5.85,6.83,178.27,14.94
526,52.75,128.60,144.09,0.57,1.17,1.47,325.44,3.21
527,37.32,90.98,101.93,8.43,24.65,27.94,230.23,61.02
528,21.72,52.95,59.32,43.10,152.25,180.48,133.99,375.83
529,30.96,75.49,84.57,1.86,4.11,5.18,191.02,11.15
530,37.35,91.07,102.03,22.57,108.08,102.44,230.45,233.09
531,21.74,53.00,59.39,0.05,0.20,0.26,134.13,0.51
532,46.63,119.42,130.95,11.22,42.31,41.02,297.00,94.55
533,28.68,73.45,80.55,48.86,199.70,200.37,182.68,448.93
534,57.08,146.19,160.31,190.38,652.16,601.33,363.57,1443.87
535,21.43,54.12,61.47,77.69,335.59,332.98,137.02,746.26
536,29.10,73.51,83.49,9.24,38.55,37.01,186.10,84.79
537,5.81,14.68,16.67,37.75,114.58,150.52,37.16,302.85
538,17.36,43.85,49.80,0.93,3.36,4.29,111.02,8.58
539,18.36,46.37,52.66,35.63,100.59,141.46,117.39,277.67
540,44.95,113.53,128.95,66.58,226.61,276.78,287.43,569.97
541,26.72,67.48,76.65,66.44,295.71,281.98,170.85,644.13
542,24.79,62.62,71.13,89.08,411.28,395.78,158.54,896.14
543,10.26,23.29,26.73,21.31,73.40,86.68,60.28,181.39
544,20.02,45.46,52.17,16.11,27.47,57.50,117.65,101.09
545,19.61,44.54,51.12,10.98,37.96,41.30,115.27,90.24
546,22.40,50.87,58.38,2.14,5.10,5.21,131.66,12.45
547,0.00,0.00,0.00,50.00,204.98,240.18,0.00,495.17
548,3.69,10.14,11.35,1.17,3.94,4.91,25.17,10.02
549,18.12,49.81,55.75,8.36,25.01,25.15,123.68,58.51
550,89.45,269.55,291.48,59.36,178.13,153.39,650.48,390.88
551,23.00,63.24,70.78,0.77,2.11,2.13,157.02,5.01
552,0.69,2.36,2.60,56.92,88.90,206.07,5.65,351.90
553,0.86,2.95,3.25,3.55,9.58,15.95,7.06,29.08
554,1.43,4.91,5.42,23.34,51.05,64.92,11.76,139.30
555,1.38,4.71,5.20,49.85,149.12,171.02,11.29,369.99
